ppn	spkr	id	var	dur	f	pool	list	def	s	o1	o2	o3	o4	cor	r	rt	i
ZRWDX	17	1	3	660	1_17_3.wav	2	1	39	f	108	171	112	39	1	4	1491	60
ZRWDX	51	12	3	649	12_51_3.wav	3	3	41	m	41	44	135	10	1	1	1085	61
ZRWDX	1	2	1	568	2_1_1.wav	1	3	41	f	146	41	46	162	1	2	2686	62
ZRWDX	10	9	4	500	9_10_4.wav	2	1	21	m	21	148	24	169	1	1	1442	63
ZRWDX	14	1	2	670	1_14_2.wav	2	3	41	f	100	156	165	41	0	4	4210	64
ZRWDX	50	3	1	740	3_50_1.wav	3	1	31	f	31	99	84	68	1	1	1260	65
ZRWDX	46	1	1	660	1_46_1.wav	2	1	24	f	15	24	82	44	1	2	1528	66
ZRWDX	45	10	2	499	10_45_2.wav	1	2	15	m	92	163	174	15	1	4	1779	67
ZRWDX	28	11	2	609	11_28_2.wav	1	3	41	m	72	102	68	41	1	4	2132	68
ZRWDX	3	3	2	550	3_3_2.wav	3	3	41	f	75	176	41	60	1	3	1703	69
ZRWDX	31	5	2	830	5_31_2.wav	2	3	41	f	162	46	41	12	1	3	1822	70
ZRWDX	16	2	3	585	2_16_3.wav	1	3	41	f	41	1	86	122	1	1	1776	71
ZRWDX	36	1	3	680	1_36_3.wav	2	1	23	f	23	107	56	161	1	1	935	72
ZRWDX	12	12	1	586	12_12_1.wav	3	1	1	m	1	90	86	116	1	1	1574	73
ZRWDX	19	5	1	790	5_19_1.wav	2	2	29	f	68	160	84	29	1	4	1015	74
ZRWDX	19	6	1	693	6_19_1.wav	1	2	29	f	29	24	134	26	1	1	1638	75
ZRWDX	17	10	2	693	10_17_2.wav	1	1	39	m	66	32	33	39	0	2	1567	76
ZRWDX	25	4	2	910	4_25_2.wav	3	2	35	f	126	35	115	179	1	2	1240	77
ZRWDX	11	9	2	622	9_11_2.wav	2	3	41	m	105	41	101	163	1	2	1701	78
ZRWDX	36	11	2	511	11_36_2.wav	1	1	23	m	136	165	4	23	1	4	1746	79
