id	target	base	production_cue
1	bumier	bumper	BUmier
2	kiosa	kiosk	kiOsa
3	merro	metro	merro
4	mossee	moskee	MOSsee
5	palaar	pilaar	PAlaar
6	pialm	psalm	PIalm
7	oriel	orgel	oriel
8	pontein	fontein	PONtein
9	perzon	perron	PERzon
10	kantoog	kantoor	KANtoog
11	ezon	ozon	Ezon
12	fnoe	gnoe	fnoe
13	inoor	ivoor	Inoor
14	lamboe	bamboe	LAMboe
15	galot	galop	GAlot
16	perdik	perzik	PERdik
17	nund	rund	nund
18	moerak	moeras	MOErak
19	ozel	ezel	Ozel
20	riviet	rivier	RIviet
